month,dealer_id,model_id,variant_id,units_sold,stock_available,inventory_days,average_discount_pct,marketing_spend,test_drives,enquiries,active_sales_executives,dealer_manager_id,regional_manager_id,festival_month,economic_index,competitor_index
2024-04-01,DLR001,MDL001,VAR001,7,19,34.9,5.15,28608.29,28,48,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL001,VAR002,9,36,35.5,4.16,42003.43,29,46,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL001,VAR003,7,18,37.8,4.18,43309.44,25,39,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL001,VAR004,9,28,36.7,4.7,55470.9,40,57,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL001,VAR005,9,18,39.5,4.07,43264.17,38,58,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL001,VAR006,8,24,40.4,5.46,51628.5,33,47,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL002,VAR007,8,32,34.6,5.6,42816.1,28,47,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL002,VAR008,11,21,37.9,5.07,76214.67,36,49,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL002,VAR009,7,18,41.0,3.75,43900.92,22,32,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL002,VAR010,9,26,32.5,4.76,63670.04,34,47,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL002,VAR011,10,21,33.7,3.91,64153.14,37,58,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL002,VAR012,6,34,36.9,4.88,31992.5,23,37,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL003,VAR013,7,22,35.2,3.97,26943.27,27,37,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL003,VAR014,9,28,34.2,3.86,56483.44,31,50,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL003,VAR015,8,30,37.6,4.8,33440.58,32,49,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL003,VAR016,7,24,33.1,5.09,40686.5,31,48,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL003,VAR017,10,26,37.7,5.23,43347.92,37,56,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL003,VAR018,8,19,34.7,3.69,55040.99,25,34,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL004,VAR019,8,34,33.0,5.23,46553.56,32,46,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL004,VAR020,10,26,38.4,4.78,39500.24,42,57,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL004,VAR021,7,21,38.8,4.68,30353.8,24,38,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL004,VAR022,8,38,39.0,4.2,54048.08,30,47,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL004,VAR023,8,31,40.8,5.34,48068.35,29,40,12,EMP0005,EMP0002,0,100.0,97.8
2024-04-01,DLR001,MDL004,VAR024,6,26,40.0,5.13,40448.41,27,40,12,EMP0005,EMP0002,0,100.0,97.8
