month,service_center_id,part_id,model_id,variant_id,quantity_demanded,quantity_fulfilled,quantity_backordered,lost_sales_quantity,opening_stock,stock_received,closing_stock,stockout_days,average_lead_time_days,warranty_quantity,paid_quantity
2025-12-01,SVC001,PRT0001,MDL001,VAR001,15,15,0,0,21,0,6,0,2.2,4,11
2026-01-01,SVC001,PRT0001,MDL001,VAR001,13,13,0,0,23,0,10,0,9.7,3,11
2026-02-01,SVC001,PRT0001,MDL001,VAR001,12,12,0,0,19,0,7,0,3.1,2,10
2026-03-01,SVC001,PRT0001,MDL001,VAR001,18,18,0,0,20,3,5,0,3.8,5,15
2026-04-01,SVC001,PRT0001,MDL001,VAR001,11,11,0,0,16,1,6,0,3.8,3,10
2026-05-01,SVC001,PRT0001,MDL001,VAR001,0,0,0,0,10,0,10,0,9.7,0,0
2025-12-01,SVC001,PRT0002,MDL001,VAR002,8,8,0,0,15,0,7,0,7.4,1,7
2026-01-01,SVC001,PRT0002,MDL001,VAR002,9,9,0,0,15,0,6,0,6.2,1,6
2026-02-01,SVC001,PRT0002,MDL001,VAR002,0,0,0,0,9,0,9,0,6.2,0,0
2026-03-01,SVC001,PRT0002,MDL001,VAR002,4,4,0,0,7,2,5,0,8.2,1,3
2026-04-01,SVC001,PRT0002,MDL001,VAR002,8,8,0,0,19,0,11,0,5.3,2,6
2026-05-01,SVC001,PRT0002,MDL001,VAR002,9,5,1,3,15,0,10,4,7.3,1,4
2025-12-01,SVC001,PRT0003,MDL001,VAR003,0,0,0,0,10,0,10,0,9.6,0,0
2026-01-01,SVC001,PRT0003,MDL001,VAR003,5,5,0,0,13,0,8,0,3.9,1,4
2026-02-01,SVC001,PRT0003,MDL001,VAR003,0,0,0,0,3,1,4,0,6.7,0,0
2026-03-01,SVC001,PRT0003,MDL001,VAR003,0,0,0,0,2,1,3,0,6.8,0,0
2026-04-01,SVC001,PRT0003,MDL001,VAR003,4,4,0,0,14,0,10,0,4.7,1,3
2026-05-01,SVC001,PRT0003,MDL001,VAR003,0,0,0,0,5,0,5,0,8.6,0,0
2025-12-01,SVC001,PRT0004,MDL001,VAR004,14,14,0,0,20,0,6,0,2.7,2,12
