month,service_center_id,service_type,job_category,model_id,variant_id,total_orders,completed_orders,breached_orders,sla_target_hours,avg_resolution_hours,p90_resolution_hours,backlog_open_orders,parts_wait_orders,repeat_repair_orders,cancelled_orders
2024-04-01,SVC001,Accident Repair,Body Repair,,,32,24,4,96.00,80.26,122.39,5,2,1,3
2024-04-01,SVC001,Inspection,Body Repair,,,4,3,0,96.00,80.03,122.05,1,0,0,0
2024-04-01,SVC001,Inspection,Campaign,,,5,2,0,48.00,36.04,64.06,0,0,0,3
2024-04-01,SVC001,Inspection,Diagnostics,,,5,4,0,48.00,36.04,64.06,0,0,0,1
2024-04-01,SVC001,Inspection,Electrical,,,2,1,0,72.00,58.02,96.02,1,0,0,0
2024-04-01,SVC001,Inspection,Maintenance,,,2,2,0,48.00,36.02,64.02,0,0,0,0
2024-04-01,SVC001,Inspection,Mechanical,,,2,2,0,48.00,36.02,64.02,0,0,1,0
2024-04-01,SVC001,Periodic Service,Body Repair,,,4,3,0,96.00,80.03,122.05,1,0,0,0
2024-04-01,SVC001,Periodic Service,Campaign,,,4,4,0,48.00,36.03,64.05,0,0,0,0
2024-04-01,SVC001,Periodic Service,Diagnostics,,,7,3,1,48.00,36.06,64.09,3,0,1,1
2024-04-01,SVC001,Periodic Service,Electrical,,,3,3,0,72.00,58.02,96.04,0,0,0,0
2024-04-01,SVC001,Periodic Service,Maintenance,,,3,1,0,48.00,36.02,64.04,1,0,0,1
2024-04-01,SVC001,Periodic Service,Mechanical,,,7,6,1,48.00,36.06,64.09,0,0,1,1
2024-04-01,SVC001,Recall Campaign,Campaign,,,34,20,2,48.00,36.28,64.41,9,2,1,5
2024-04-01,SVC001,Running Repair,Body Repair,,,2,1,0,96.00,80.02,122.02,1,0,0,0
2024-04-01,SVC001,Running Repair,Campaign,,,4,2,0,48.00,36.03,64.05,2,0,0,0
2024-04-01,SVC001,Running Repair,Diagnostics,,,9,6,1,48.00,36.07,64.11,2,1,0,1
2024-04-01,SVC001,Running Repair,Electrical,,,4,2,0,72.00,58.03,96.05,0,0,0,2
2024-04-01,SVC001,Running Repair,Maintenance,,,4,2,0,48.00,36.03,64.05,0,0,0,2
2024-04-01,SVC001,Running Repair,Mechanical,,,4,2,0,48.00,36.03,64.05,0,0,0,2
2024-04-01,SVC001,Warranty Repair,Body Repair,,,3,2,0,96.00,80.02,122.04,1,0,0,0
2024-04-01,SVC001,Warranty Repair,Campaign,,,6,6,1,48.00,36.05,64.07,0,0,1,0
2024-04-01,SVC001,Warranty Repair,Diagnostics,,,4,3,0,48.00,36.03,64.05,1,0,0,0
2024-04-01,SVC001,Warranty Repair,Electrical,,,5,0,1,72.00,58.04,96.06,3,1,0,2
2024-04-01,SVC001,Warranty Repair,Maintenance,,,6,4,0,48.00,36.05,64.07,1,0,0,1
2024-04-01,SVC001,Warranty Repair,Mechanical,,,4,4,0,48.00,36.03,64.05,0,0,0,0
2024-04-01,SVC002,Accident Repair,Body Repair,,,25,20,4,96.00,80.20,122.29,1,2,4,4
2024-04-01,SVC002,Inspection,Body Repair,,,6,5,1,96.00,80.05,122.07,1,0,1,0
2024-04-01,SVC002,Inspection,Campaign,,,10,6,0,48.00,36.08,64.12,1,1,0,3
2024-04-01,SVC002,Inspection,Diagnostics,,,6,5,0,48.00,36.05,64.07,1,0,0,0
2024-04-01,SVC002,Inspection,Electrical,,,7,4,1,72.00,58.05,96.08,2,1,0,1
2024-04-01,SVC002,Inspection,Maintenance,,,8,6,1,48.00,36.06,64.09,1,0,1,1
2024-04-01,SVC002,Inspection,Mechanical,,,3,2,0,48.00,36.02,64.04,0,0,0,1
2024-04-01,SVC002,Periodic Service,Body Repair,,,4,2,0,96.00,80.03,122.05,2,0,0,0
2024-04-01,SVC002,Periodic Service,Campaign,,,4,0,0,48.00,36.03,64.05,0,0,0,4
2024-04-01,SVC002,Periodic Service,Diagnostics,,,9,5,0,48.00,36.07,64.11,3,1,0,1
2024-04-01,SVC002,Periodic Service,Electrical,,,5,3,1,72.00,58.04,96.06,2,1,1,0
2024-04-01,SVC002,Periodic Service,Maintenance,,,8,5,1,48.00,36.06,64.09,2,0,1,1
2024-04-01,SVC002,Periodic Service,Mechanical,,,6,4,1,48.00,36.05,64.07,0,0,1,2
2024-04-01,SVC002,Recall Campaign,Campaign,,,36,27,2,48.00,36.28,64.42,5,2,0,4
2024-04-01,SVC002,Running Repair,Body Repair,,,2,1,0,96.00,80.02,122.02,1,0,0,0
2024-04-01,SVC002,Running Repair,Campaign,,,4,2,0,48.00,36.03,64.05,1,0,0,1
2024-04-01,SVC002,Running Repair,Diagnostics,,,5,3,1,48.00,36.04,64.06,1,0,1,1
2024-04-01,SVC002,Running Repair,Electrical,,,3,2,1,72.00,58.02,96.04,0,0,1,1
2024-04-01,SVC002,Running Repair,Maintenance,,,7,4,1,48.00,36.05,64.08,1,0,0,2
2024-04-01,SVC002,Running Repair,Mechanical,,,11,7,1,48.00,36.09,64.13,1,1,1,3
2024-04-01,SVC002,Warranty Repair,Body Repair,,,3,3,0,96.00,80.02,122.04,0,0,0,0
2024-04-01,SVC002,Warranty Repair,Campaign,,,4,4,0,48.00,36.03,64.05,0,0,0,0
2024-04-01,SVC002,Warranty Repair,Diagnostics,,,2,0,0,48.00,36.02,64.02,0,0,0,2
2024-04-01,SVC002,Warranty Repair,Electrical,,,7,4,1,72.00,58.05,96.08,1,1,0,2
2024-04-01,SVC002,Warranty Repair,Maintenance,,,7,3,1,48.00,36.05,64.08,3,0,0,1
2024-04-01,SVC002,Warranty Repair,Mechanical,,,9,5,1,48.00,36.07,64.11,2,1,1,2
2024-04-01,SVC003,Accident Repair,Body Repair,,,36,26,4,96.00,80.27,122.41,6,2,3,4
2024-04-01,SVC003,Inspection,Body Repair,,,4,3,0,96.00,80.03,122.05,0,0,0,1
2024-04-01,SVC003,Inspection,Campaign,,,4,3,0,48.00,36.03,64.05,1,0,0,0
2024-04-01,SVC003,Inspection,Diagnostics,,,5,3,1,48.00,36.04,64.06,0,0,1,2
2024-04-01,SVC003,Inspection,Electrical,,,2,1,0,72.00,58.02,96.02,1,0,0,0
2024-04-01,SVC003,Inspection,Maintenance,,,3,3,0,48.00,36.02,64.03,0,0,0,0
2024-04-01,SVC003,Inspection,Mechanical,,,6,4,0,48.00,36.05,64.07,1,0,0,1
2024-04-01,SVC003,Periodic Service,Body Repair,,,6,5,1,96.00,80.05,122.07,0,0,2,1
2024-04-01,SVC003,Periodic Service,Campaign,,,3,1,0,48.00,36.02,64.03,1,0,0,1
2024-04-01,SVC003,Periodic Service,Diagnostics,,,5,4,0,48.00,36.04,64.06,1,0,0,0
2024-04-01,SVC003,Periodic Service,Electrical,,,4,3,1,72.00,58.03,96.05,0,0,1,1
2024-04-01,SVC003,Periodic Service,Maintenance,,,10,9,0,48.00,36.08,64.11,1,1,0,0
2024-04-01,SVC003,Periodic Service,Mechanical,,,4,3,0,48.00,36.03,64.05,0,0,1,1
2024-04-01,SVC003,Recall Campaign,Campaign,,,25,17,1,48.00,36.19,64.28,4,2,1,4
2024-04-01,SVC003,Running Repair,Body Repair,,,6,3,1,96.00,80.05,122.07,3,0,0,0
2024-04-01,SVC003,Running Repair,Campaign,,,6,4,1,48.00,36.05,64.07,2,0,1,0
2024-04-01,SVC003,Running Repair,Diagnostics,,,1,1,0,48.00,36.01,64.01,0,0,0,0
2024-04-01,SVC003,Running Repair,Electrical,,,4,3,1,72.00,58.03,96.05,0,0,1,1
2024-04-01,SVC003,Running Repair,Maintenance,,,6,3,0,48.00,36.05,64.07,1,0,0,2
2024-04-01,SVC003,Running Repair,Mechanical,,,4,2,0,48.00,36.03,64.05,0,0,0,2
2024-04-01,SVC003,Warranty Repair,Body Repair,,,10,8,1,96.00,80.08,122.11,1,1,0,1
2024-04-01,SVC003,Warranty Repair,Campaign,,,3,2,0,48.00,36.02,64.03,1,0,0,0
2024-04-01,SVC003,Warranty Repair,Diagnostics,,,3,1,0,48.00,36.02,64.03,1,0,0,1
2024-04-01,SVC003,Warranty Repair,Electrical,,,5,1,1,72.00,58.04,96.06,3,1,1,1
2024-04-01,SVC003,Warranty Repair,Maintenance,,,4,4,0,48.00,36.03,64.05,0,0,0,0
2024-04-01,SVC003,Warranty Repair,Mechanical,,,2,2,0,48.00,36.02,64.02,0,0,0,0
2024-04-01,SVC004,Accident Repair,Body Repair,,,22,18,3,96.00,80.25,122.38,2,1,2,2
2024-04-01,SVC004,Inspection,Body Repair,,,1,1,0,96.00,80.01,122.02,0,0,0,0
2024-04-01,SVC004,Inspection,Campaign,,,7,5,0,48.00,36.08,64.12,1,0,0,1
2024-04-01,SVC004,Inspection,Diagnostics,,,1,0,0,48.00,36.01,64.02,0,0,0,1
2024-04-01,SVC004,Inspection,Electrical,,,2,1,0,72.00,58.02,96.03,1,0,0,0
2024-04-01,SVC004,Inspection,Maintenance,,,5,4,0,48.00,36.06,64.09,1,0,0,0
2024-04-01,SVC004,Inspection,Mechanical,,,1,1,0,48.00,36.01,64.02,0,0,0,0
2024-04-01,SVC004,Periodic Service,Body Repair,,,5,3,0,96.00,80.06,122.09,1,0,0,1
2024-04-01,SVC004,Periodic Service,Campaign,,,4,3,0,48.00,36.05,64.07,0,0,0,1
2024-04-01,SVC004,Periodic Service,Diagnostics,,,4,4,0,48.00,36.05,64.07,0,0,0,0
2024-04-01,SVC004,Periodic Service,Electrical,,,3,2,0,72.00,58.03,96.05,0,0,0,1
2024-04-01,SVC004,Periodic Service,Maintenance,,,1,0,0,48.00,36.01,64.02,1,0,0,0
2024-04-01,SVC004,Periodic Service,Mechanical,,,4,3,0,48.00,36.05,64.07,1,0,0,0
2024-04-01,SVC004,Recall Campaign,Campaign,,,22,17,2,48.00,36.25,64.38,3,1,2,2
2024-04-01,SVC004,Running Repair,Body Repair,,,3,2,0,96.00,80.03,122.05,1,0,0,0
2024-04-01,SVC004,Running Repair,Campaign,,,3,3,1,48.00,36.03,64.05,0,0,1,0
2024-04-01,SVC004,Running Repair,Diagnostics,,,3,2,0,48.00,36.03,64.05,0,0,0,1
