month,service_center_id,claim_type,return_reason,age_bucket,model_id,variant_id,claim_count,return_count,claim_amount,return_amount
2024-04-01,SVC001,Extended Warranty,No Return,0-3m,MDL002,VAR008,1,0,13859,0
2024-04-01,SVC001,Extended Warranty,No Return,0-3m,MDL003,VAR015,1,0,6019,0
2024-04-01,SVC001,Extended Warranty,No Return,0-3m,MDL005,VAR026,1,0,30969,0
2024-04-01,SVC001,Extended Warranty,No Return,0-3m,MDL007,VAR040,1,0,40593,0
2024-04-01,SVC001,Extended Warranty,No Return,13-24m,MDL001,VAR003,1,0,3763,0
2024-04-01,SVC001,Extended Warranty,No Return,13-24m,MDL001,VAR006,1,0,2431,0
2024-04-01,SVC001,Extended Warranty,No Return,13-24m,MDL004,VAR020,1,0,2955,0
2024-04-01,SVC001,Extended Warranty,No Return,25-36m,MDL002,VAR009,1,0,36369,0
2024-04-01,SVC001,Extended Warranty,No Return,25-36m,MDL003,VAR017,1,0,21888,0
2024-04-01,SVC001,Extended Warranty,No Return,25-36m,MDL007,VAR039,1,0,29931,0
2024-04-01,SVC001,Extended Warranty,No Return,7-12m,MDL001,VAR005,1,0,36348,0
2024-04-01,SVC001,Extended Warranty,No Return,7-12m,MDL002,VAR012,1,0,11209,0
2024-04-01,SVC001,Goodwill,No Return,0-3m,MDL005,VAR027,1,0,22928,0
2024-04-01,SVC001,Goodwill,No Return,0-3m,MDL005,VAR030,1,0,36781,0
2024-04-01,SVC001,Goodwill,No Return,13-24m,MDL003,VAR016,1,0,16166,0
2024-04-01,SVC001,Goodwill,No Return,13-24m,MDL004,VAR022,1,0,31789,0
2024-04-01,SVC001,Goodwill,No Return,13-24m,MDL006,VAR034,1,0,39176,0
2024-04-01,SVC001,Goodwill,No Return,25-36m,MDL005,VAR029,1,0,3080,0
2024-04-01,SVC001,Goodwill,No Return,4-6m,MDL003,VAR014,1,0,24336,0
2024-04-01,SVC001,Goodwill,No Return,4-6m,MDL005,VAR025,1,0,6852,0
