service_order_id,order_date,month,service_center_id,model_id,variant_id,service_type,job_category,service_channel,status,warranty_flag,repeat_repair_flag,campaign_flag,appointment_flag,promised_delivery_date,completed_date,labor_hours,bay_hours
SO0000001,2025-12-09,2025-12-01,SVC001,MDL001,VAR001,Warranty Repair,Diagnostics,Appointment,Cancelled,true,false,false,true,2025-12-10,,6.8,5.6
SO0000002,2025-12-30,2025-12-01,SVC001,MDL001,VAR002,Running Repair,Body Repair,Walk-in,Cancelled,false,false,false,false,2025-12-31,,2.3,2.0
SO0000003,2025-12-08,2025-12-01,SVC001,MDL001,VAR003,Recall Campaign,Campaign,Fleet,Completed,false,false,true,true,2025-12-09,2025-12-10,4.5,3.4
SO0000004,2025-12-04,2025-12-01,SVC001,MDL001,VAR004,Warranty Repair,Body Repair,Appointment,Cancelled,true,false,false,false,2025-12-05,,3.5,2.6
SO0000005,2025-12-25,2025-12-01,SVC001,MDL001,VAR005,Warranty Repair,Maintenance,Appointment,Open,true,false,false,false,2025-12-26,,3.4,2.6
SO0000006,2025-12-31,2025-12-01,SVC001,MDL001,VAR006,Periodic Service,Campaign,Pickup-Drop,Completed,false,false,false,true,2026-01-01,2026-01-01,3.0,2.6
SO0000007,2025-12-01,2025-12-01,SVC001,MDL002,VAR007,Warranty Repair,Body Repair,Walk-in,Completed,true,false,false,true,2025-12-02,2025-12-01,7.9,6.6
SO0000008,2025-12-11,2025-12-01,SVC001,MDL002,VAR008,Warranty Repair,Diagnostics,Fleet,Completed,true,true,false,true,2025-12-12,2025-12-13,5.1,4.3
SO0000009,2025-12-04,2025-12-01,SVC001,MDL002,VAR009,Recall Campaign,Campaign,Pickup-Drop,Open,false,false,true,false,2025-12-05,,2.3,1.8
SO0000010,2025-12-05,2025-12-01,SVC001,MDL002,VAR010,Accident Repair,Body Repair,Fleet,Cancelled,false,false,false,true,2025-12-10,,6.7,4.4
SO0000011,2025-12-10,2025-12-01,SVC001,MDL002,VAR011,Periodic Service,Body Repair,Fleet,Completed,false,false,false,true,2025-12-11,2025-12-10,1.7,1.5
SO0000012,2025-12-19,2025-12-01,SVC001,MDL002,VAR012,Periodic Service,Maintenance,Appointment,Completed,false,false,false,false,2025-12-20,2025-12-20,2.2,1.6
SO0000013,2025-12-15,2025-12-01,SVC001,MDL003,VAR013,Running Repair,Diagnostics,Fleet,Completed,false,false,false,false,2025-12-16,2025-12-16,5.9,4.7
SO0000014,2025-12-10,2025-12-01,SVC001,MDL003,VAR014,Accident Repair,Body Repair,Fleet,Completed,false,false,false,false,2025-12-15,2025-12-18,8.2,7.2
SO0000015,2025-12-09,2025-12-01,SVC001,MDL003,VAR015,Warranty Repair,Campaign,Fleet,Completed,true,false,false,true,2025-12-10,2025-12-10,2.5,1.8
SO0000016,2025-12-21,2025-12-01,SVC001,MDL003,VAR016,Recall Campaign,Campaign,Appointment,Completed,true,false,true,true,2025-12-22,2025-12-21,5.6,4.8
SO0000017,2025-12-23,2025-12-01,SVC001,MDL003,VAR017,Accident Repair,Body Repair,Appointment,Completed,true,false,false,false,2025-12-28,2025-12-27,6.4,5.2
SO0000018,2025-12-02,2025-12-01,SVC001,MDL003,VAR018,Periodic Service,Maintenance,Walk-in,Cancelled,false,false,false,true,2025-12-03,,2.4,1.8
SO0000019,2025-12-20,2025-12-01,SVC001,MDL004,VAR019,Periodic Service,Mechanical,Fleet,Completed,false,true,false,false,2025-12-21,2025-12-20,2.4,2.0
SO0000020,2025-12-25,2025-12-01,SVC001,MDL004,VAR020,Inspection,Mechanical,Pickup-Drop,Completed,false,false,false,true,2025-12-26,2025-12-25,4.7,4.2
SO0000021,2025-12-02,2025-12-01,SVC001,MDL004,VAR021,Inspection,Diagnostics,Fleet,Completed,false,true,false,true,2025-12-03,2025-12-04,4.7,3.5
SO0000022,2025-12-29,2025-12-01,SVC001,MDL004,VAR022,Periodic Service,Maintenance,Walk-in,Completed,false,false,false,false,2025-12-30,2025-12-30,1.7,1.1
SO0000023,2025-12-17,2025-12-01,SVC001,MDL004,VAR023,Inspection,Electrical,Pickup-Drop,Completed,true,false,false,true,2025-12-18,2025-12-17,2.1,1.6
SO0000024,2025-12-19,2025-12-01,SVC001,MDL004,VAR024,Accident Repair,Body Repair,Pickup-Drop,Completed,false,false,false,false,2025-12-24,2025-12-26,20.2,15.1
SO0000025,2025-12-13,2025-12-01,SVC001,MDL005,VAR025,Warranty Repair,Body Repair,Pickup-Drop,Completed,true,false,false,false,2025-12-14,2025-12-13,7.1,6.3
SO0000026,2025-12-22,2025-12-01,SVC001,MDL005,VAR026,Warranty Repair,Body Repair,Walk-in,Cancelled,true,false,false,true,2025-12-23,,7.8,5.8
SO0000027,2025-12-04,2025-12-01,SVC001,MDL005,VAR027,Periodic Service,Campaign,Pickup-Drop,Completed,false,false,false,true,2025-12-05,2025-12-05,1.7,1.2
SO0000028,2025-12-22,2025-12-01,SVC001,MDL005,VAR028,Running Repair,Campaign,Appointment,Cancelled,false,false,false,true,2025-12-23,,5.6,3.7
SO0000029,2025-12-27,2025-12-01,SVC001,MDL005,VAR029,Recall Campaign,Campaign,Appointment,Completed,false,false,true,true,2025-12-28,2025-12-29,3.7,2.8
SO0000030,2025-12-03,2025-12-01,SVC001,MDL005,VAR030,Inspection,Diagnostics,Walk-in,Completed,false,false,false,true,2025-12-04,2025-12-05,4.0,3.3
SO0000031,2025-12-09,2025-12-01,SVC001,MDL006,VAR031,Running Repair,Campaign,Fleet,Completed,false,false,false,true,2025-12-10,2025-12-09,3.6,3.2
SO0000032,2025-12-22,2025-12-01,SVC001,MDL006,VAR032,Periodic Service,Electrical,Appointment,Open,false,false,false,true,2025-12-23,,1.9,1.7
SO0000033,2025-12-17,2025-12-01,SVC001,MDL006,VAR033,Recall Campaign,Campaign,Walk-in,Cancelled,false,false,true,true,2025-12-18,,7.9,6.9
SO0000034,2025-12-24,2025-12-01,SVC001,MDL006,VAR034,Recall Campaign,Campaign,Pickup-Drop,Completed,false,false,true,false,2025-12-25,2025-12-25,5.2,4.7
SO0000035,2025-12-28,2025-12-01,SVC001,MDL006,VAR035,Periodic Service,Maintenance,Fleet,Completed,false,false,false,true,2025-12-29,2025-12-29,1.3,0.9
